CUSTOMER_NUMBER,FREQUENT_ORDER_TYPE,FIRST_DELIVERY_DATE,ON_BOARDING_DATE,COLD_DRINK_CHANNEL,TRADE_CHANNEL,SUB_TRADE_CHANNEL,LOCAL_MARKET_PARTNER,CO2_CUSTOMER,ZIP_CODE
501568766,MYCOKE LEGACY,10/18/2023,10/5/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,1885
501565952,SALES REP,12/15/2023,9/26/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,40361
501487274,SALES REP,4/12/2023,2/9/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,2667
500284477,SALES REP,6/13/2016,6/1/2016,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,1109
501486338,SALES REP,2/15/2023,2/7/2023,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,TRUE,67952
500823092,SALES REP,1/29/2019,11/23/2018,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,FALSE,FALSE,21034
600080692,SALES REP,3/2/2016,10/7/2013,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,21034
501567327,SALES REP,11/15/2023,9/29/2023,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,FALSE,TRUE,2112
501122508,SALES REP,10/22/2020,9/3/2020,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,21664
600080408,SALES REP,3/2/2016,1/13/2012,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,21034
600079592,CALL CENTER,3/4/2016,2/19/1999,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,66946
501345011,SALES REP,3/15/2022,2/10/2022,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,1757
501697860,SALES REP,9/23/2024,8/14/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,42728
500807050,SALES REP,12/10/2018,10/26/2018,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,20643
